"Depth
(m)","Level
(mPD)",Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,,,,,,,Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,,,,Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,,,,,,,,,,,,,,,Cum. Displacement Profile (mm),,,,,Cum. Displacement Profile (mm),,,,,,,,,,,,,,,,,,Cum. Displacement Profile (mm),,,,,,Cum. Displacement Profile (mm),,,,,Cum. Displacement Profile (mm),,,,,,,,,,,,,,Cum. Displacement Profile (mm),,,Cum. Displacement Profile (mm),,
7.50,0.220,-46.23,-45.81,-25.73,-48.55,-45.17,-56.01,-49.49,-50.64,-53.02,-35.34,-37.03,62.13,62.60,63.45,109.77,106.02,140.87,129.89,201.36,235.18,247.97,292.94,357.22,449.23,441.94,504.34,489.42,514.92,496.23,617.20,638.35,696.27,690.70,748.52,759.13,748.56,745.54,811.08,817.23,814.78,800.39,817.17,782.22,881.35,842.47,843.93,861.73,860.42,870.70,875.20,902.50,903.26,871.55,897.24,897.88,873.52,823.70,897.06,882.90,883.06,894.84,876.62,880.66,882.08,872.56,881.17,871.43,884.36,887.57,886.28,946.44,930.95,956.23,890.06,890.90,884.36,897.55,887.28,889.70,888.56,887.88,886.35,897.19,885.79,887.83,893.53,894.49,882.74,889.35,890.72,896.65,887.42
8.00,-0.280,-55.07,-54.98,-34.44,-57.64,-54.11,-67.51,-58.66,-72.45,-74.31,-56.94,-59.02,38.72,39.14,39.79,85.88,82.00,116.67,105.77,177.60,212.20,224.49,269.12,334.08,426.16,418.83,481.45,466.34,492.17,473.04,593.64,614.37,671.98,667.35,724.10,736.01,724.44,720.52,785.90,792.24,789.63,774.85,791.39,756.39,856.84,816.37,817.78,835.33,834.28,843.96,848.38,875.51,876.18,843.86,869.43,870.35,846.18,797.36,868.33,855.89,855.50,867.26,849.05,853.13,854.40,845.08,853.44,843.72,856.90,860.08,858.77,917.27,902.67,928.53,861.00,862.38,855.65,869.56,859.31,861.11,860.12,859.10,857.64,870.21,857.11,858.39,864.19,865.17,854.01,860.75,862.21,867.92,858.38
8.50,-0.780,-65.87,-66.30,-45.43,-68.83,-65.00,-78.60,-69.90,-96.57,-97.18,-80.07,-81.79,13.55,14.26,14.55,60.62,56.45,90.90,80.23,152.62,187.30,199.79,243.83,309.61,401.44,394.23,457.28,441.72,468.22,448.54,568.80,589.58,646.66,639.50,698.38,711.84,697.68,694.41,759.09,764.75,761.52,747.89,764.56,729.14,829.87,789.06,790.31,807.66,806.78,815.69,820.11,847.00,848.00,814.75,840.17,841.07,816.92,768.90,838.74,826.73,825.99,838.00,819.74,823.74,825.10,815.90,823.96,814.54,827.81,830.59,829.39,886.98,873.56,899.53,829.34,831.80,824.94,839.13,829.10,830.35,829.57,828.39,826.89,840.30,827.50,827.45,833.42,834.90,824.29,829.25,831.15,836.86,826.48
9.00,-1.280,-79.81,-80.75,-59.46,-83.11,-79.10,-94.13,-84.34,-123.24,-122.53,-105.78,-108.11,-14.35,-13.31,-13.21,32.93,28.40,62.68,52.04,124.95,159.86,172.89,218.02,282.63,374.39,367.14,430.64,414.54,441.79,421.65,541.55,561.55,618.74,611.41,670.44,685.46,670.32,665.78,730.07,736.61,732.73,719.27,734.91,699.45,800.55,759.65,760.37,777.22,777.29,785.27,789.84,816.13,817.26,783.09,808.36,809.62,785.21,739.28,807.04,795.18,794.30,806.32,787.95,791.96,793.40,787.01,792.05,782.92,796.12,798.66,797.58,855.29,841.17,867.94,796.84,799.02,791.67,806.02,797.03,796.99,796.42,794.90,793.54,806.60,793.53,793.04,800.47,800.99,789.28,794.66,799.67,803.42,792.13
9.50,-1.780,-96.38,-98.16,-76.17,-100.23,-95.92,-113.53,-101.46,-152.15,-150.31,-133.85,-136.54,-44.43,-43.38,-43.54,2.62,-2.04,32.05,21.30,94.62,129.46,143.34,188.01,253.12,344.92,337.50,401.54,384.99,412.83,392.27,511.75,529.43,589.27,579.95,639.81,656.49,640.12,634.64,699.08,705.78,701.43,687.63,702.91,667.30,768.63,727.43,728.02,744.34,744.69,752.43,756.59,782.79,783.95,749.37,774.29,775.52,751.02,706.62,772.89,761.48,760.49,772.23,753.82,757.82,758.87,755.64,757.85,748.93,761.97,764.31,764.69,821.31,807.57,833.96,760.27,763.69,755.87,769.98,761.47,761.19,760.91,759.04,757.79,771.64,758.61,757.87,764.34,765.22,754.70,760.04,763.35,768.99,756.23
10.00,-2.280,-115.16,-117.31,-95.00,-119.43,-114.95,-132.64,-120.67,-183.38,-180.41,-164.30,-167.53,-76.81,-75.70,-75.80,-29.80,-34.71,-0.77,-11.29,62.08,96.83,111.44,155.92,221.33,312.88,305.46,370.06,352.95,381.55,360.56,479.60,496.66,555.76,546.84,607.01,625.09,606.43,601.14,664.89,672.09,665.58,653.78,668.52,632.56,735.72,693.27,693.45,709.21,709.80,718.12,721.69,747.41,748.34,713.17,738.00,739.13,713.98,671.30,736.58,726.08,724.22,735.78,717.27,721.32,722.39,721.70,720.97,712.63,725.69,727.78,728.75,784.87,770.78,797.99,722.97,725.64,717.45,731.52,723.26,722.87,722.86,720.80,719.45,734.26,720.62,720.26,727.10,727.18,716.43,722.49,725.72,729.86,717.97
10.50,-2.780,-135.51,-137.85,-115.32,-140.09,-135.44,-156.12,-141.36,-217.09,-213.11,-197.08,-200.75,-111.14,-110.29,-110.55,-64.65,-69.72,-35.97,-46.48,27.11,62.31,76.81,121.25,186.96,278.01,270.79,336.04,318.20,347.57,326.15,444.83,461.04,518.58,512.38,571.57,591.03,569.75,565.17,628.67,636.12,628.77,617.08,631.50,595.07,700.55,656.14,655.95,671.27,672.33,680.22,683.65,709.12,710.27,674.18,698.90,700.13,674.46,633.58,697.48,687.15,685.21,696.58,678.05,682.07,683.12,682.46,681.84,673.68,686.81,689.03,689.76,746.14,731.44,758.52,681.81,684.81,677.65,690.38,682.59,681.89,682.25,679.83,678.63,694.60,680.39,679.89,685.67,687.85,675.33,680.52,684.77,688.63,676.47
11.00,-3.280,-156.24,-159.06,-136.18,-161.20,-156.57,-177.17,-162.48,-251.53,-247.79,-231.86,-235.88,-147.76,-146.98,-147.57,-101.32,-106.73,-73.00,-83.49,-7.87,25.78,40.17,84.27,150.30,241.31,233.88,299.58,281.21,311.28,289.42,407.57,423.29,480.56,473.73,533.49,554.34,531.59,526.52,589.71,597.12,589.44,577.98,592.12,555.20,661.27,616.63,616.15,631.12,632.37,640.08,643.17,668.74,669.94,633.59,658.03,659.59,633.34,593.66,656.50,646.31,644.29,655.73,637.23,641.26,642.26,641.46,640.74,632.68,645.89,647.94,648.43,703.84,690.27,717.26,641.09,642.34,635.46,649.37,640.67,639.75,640.26,637.98,636.72,653.30,637.83,638.36,643.66,644.92,633.39,638.71,641.25,647.28,633.19
11.50,-3.780,-175.52,-178.55,-155.43,-180.77,-176.02,-196.71,-182.08,-285.28,-282.17,-266.58,-270.85,-184.47,-183.40,-183.99,-137.89,-143.50,-109.77,-120.46,-44.72,-10.75,3.58,47.12,113.56,204.73,197.19,263.08,244.45,274.89,252.59,370.23,385.59,442.63,437.50,495.22,517.23,493.42,487.81,550.71,558.73,550.63,538.50,552.36,516.00,621.90,600.06,576.04,590.60,592.13,599.96,602.70,628.43,629.43,593.21,617.37,619.24,592.77,552.95,615.76,605.86,603.53,615.21,596.66,600.67,601.45,601.08,599.88,591.68,605.19,606.92,606.96,662.70,649.33,676.29,600.19,600.42,593.66,606.98,599.93,598.23,598.70,596.63,595.47,612.25,597.05,598.22,602.00,603.31,592.08,595.44,601.03,605.68,591.56
12.00,-4.280,-194.23,-197.49,-174.18,-199.93,-195.00,-215.64,-201.20,-318.02,-315.54,-300.15,-304.82,-219.76,-218.65,-219.54,-173.53,-179.08,-145.76,-156.25,-80.44,-46.62,-32.13,10.36,77.75,169.18,161.50,227.47,208.65,239.36,216.61,333.73,348.88,404.91,400.33,457.85,481.03,453.94,449.92,512.44,520.35,512.54,500.32,513.81,477.38,583.23,561.40,536.93,551.39,552.95,560.43,563.48,589.16,589.93,553.88,577.82,579.83,553.05,513.33,576.10,565.89,563.73,575.70,557.13,561.13,562.09,562.76,559.86,551.69,565.32,566.96,566.75,622.60,608.95,636.44,559.60,559.61,552.99,566.27,559.46,557.79,558.23,556.28,555.02,571.74,556.77,557.70,560.32,562.07,552.50,555.80,561.05,564.15,549.97
